sensor_id,well_id,survey_type_id,depth_ft,amplitude,timestamp,quality_flag,load_dts,record_source,source_file_checksum
110,15,101,3121.2121212121215,-9.561141737805492,1997-12-15,1,2025-12-14T00:16:34+00:00,archive_batch_seismic_readings.parquet,d5fc39ecddbb7b3b417a01b4fdc507bf80443d6f340ac47f40b8ed807c52c412
130,1,101,3242.4242424242425,-6.918954809024372,1995-04-09,1,2025-12-14T00:16:34+00:00,archive_batch_seismic_readings.parquet,d5fc39ecddbb7b3b417a01b4fdc507bf80443d6f340ac47f40b8ed807c52c412
128,9,101,1303.030303030303,10.22325822602127,1996-09-26,1,2025-12-14T00:16:34+00:00,archive_batch_seismic_readings.parquet,d5fc39ecddbb7b3b417a01b4fdc507bf80443d6f340ac47f40b8ed807c52c412
128,9,102,4242.424242424243,-3.0019206735686126,1996-04-16,1,2025-12-14T00:16:34+00:00,archive_batch_seismic_readings.parquet,d5fc39ecddbb7b3b417a01b4fdc507bf80443d6f340ac47f40b8ed807c52c412
105,13,205,2424.2424242424245,9.364997634536977,1998-08-30,1,2025-12-14T00:16:34+00:00,archive_batch_seismic_readings.parquet,d5fc39ecddbb7b3b417a01b4fdc507bf80443d6f340ac47f40b8ed807c52c412
121,11,205,3915.66265060241,-10.386289006966734,1997-01-17,1,2025-12-14T00:16:34+00:00,archive_batch_seismic_readings.parquet,d5fc39ecddbb7b3b417a01b4fdc507bf80443d6f340ac47f40b8ed807c52c412
106,5,101,4598.393574297189,-8.30924985208976,1996-02-24,1,2025-12-14T00:16:34+00:00,archive_batch_seismic_readings.parquet,d5fc39ecddbb7b3b417a01b4fdc507bf80443d6f340ac47f40b8ed807c52c412
142,4,101,3273.0923694779117,-10.613150789583862,2000-07-05,1,2025-12-14T00:16:34+00:00,archive_batch_seismic_readings.parquet,d5fc39ecddbb7b3b417a01b4fdc507bf80443d6f340ac47f40b8ed807c52c412
110,15,101,333.33333333333337,-5.599197105220162,1997-12-15,1,2025-12-14T00:16:34+00:00,archive_batch_seismic_readings.parquet,d5fc39ecddbb7b3b417a01b4fdc507bf80443d6f340ac47f40b8ed807c52c412
138,1,102,1818.1818181818182,-8.757055913326836,1995-01-01,1,2025-12-14T00:16:34+00:00,archive_batch_seismic_readings.parquet,d5fc39ecddbb7b3b417a01b4fdc507bf80443d6f340ac47f40b8ed807c52c412
125,5,205,2730.9236947791164,8.597365625958222,1995-06-09,1,2025-12-14T00:16:34+00:00,archive_batch_seismic_readings.parquet,d5fc39ecddbb7b3b417a01b4fdc507bf80443d6f340ac47f40b8ed807c52c412
112,6,205,2757.5757575757575,-8.166974816984997,2002-09-28,1,2025-12-14T00:16:34+00:00,archive_batch_seismic_readings.parquet,d5fc39ecddbb7b3b417a01b4fdc507bf80443d6f340ac47f40b8ed807c52c412
124,7,101,3373.4939759036147,1.8206898449707312,2000-04-18,0,2025-12-14T00:16:34+00:00,archive_batch_seismic_readings.parquet,d5fc39ecddbb7b3b417a01b4fdc507bf80443d6f340ac47f40b8ed807c52c412
125,5,205,4859.437751004017,7.284358405866142,1995-06-09,1,2025-12-14T00:16:34+00:00,archive_batch_seismic_readings.parquet,d5fc39ecddbb7b3b417a01b4fdc507bf80443d6f340ac47f40b8ed807c52c412
127,12,102,2851.40562248996,6.8195414132652346,1999-09-29,1,2025-12-14T00:16:34+00:00,archive_batch_seismic_readings.parquet,d5fc39ecddbb7b3b417a01b4fdc507bf80443d6f340ac47f40b8ed807c52c412
